,is_transfer,commute,minor,is_stem,gpa,club_general,club_professional,club_recreational,club_athletic,club_cultural,club_skilldev,club_other,is_greek,job_status,outings_per_week,relationship_status,longest_relationship_months,num_romantic_involvements,met_partner_ucsd,year_2,year_3,year_4,dept_NaturalSci,dept_Arts/Humanities,dept_SocSci,dept_CogSci,dept_CS/DS,dept_Engineering
79,1,0,0,0,3.5,1,1,0,0,0,0,0,0,0,4.0,1,36.0,3,0,0,0,0,0,0,1,0,0,0
80,0,1,0,1,3.7,1,1,0,1,0,0,0,0,1,2.0,1,13.0,1,1,0,0,1,0,0,0,0,0,1
81,0,0,0,1,3.69,1,1,0,0,0,0,0,0,1,1.0,0,0.0,0,0,0,1,0,1,0,0,0,0,0
82,0,1,1,1,3.2,1,0,1,0,0,0,0,0,1,6.0,0,4.0,7,1,0,1,0,1,0,0,0,0,0
83,0,0,0,1,3.9,1,1,0,0,0,1,0,0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
84,0,1,0,1,4.0,1,1,0,0,0,1,0,0,1,5.0,0,3.0,3,1,0,0,1,0,0,0,0,1,0
85,0,1,0,1,,1,0,0,0,0,1,0,0,0,1.0,0,0.0,0,1,0,0,1,0,0,0,0,1,0
86,0,1,1,1,,1,0,0,0,1,1,0,0,0,6.0,1,24.0,2,0,0,1,0,0,0,0,1,0,0
87,0,1,0,1,3.67,1,1,0,0,1,0,0,0,1,2.0,0,0.0,0,1,0,1,0,0,0,0,0,0,1
88,0,1,0,1,,1,1,0,1,0,0,0,0,1,4.0,0,0.0,0,1,0,0,1,0,0,0,0,0,1
89,0,0,0,1,,1,0,0,0,0,1,0,0,0,3.0,0,22.0,3,1,0,0,0,0,0,0,0,1,0
90,0,0,0,0,,1,1,0,0,1,1,0,0,1,2.0,0,19.5,7,1,0,0,0,0,0,1,0,0,0
91,0,1,0,0,3.9,1,0,0,1,0,0,0,0,1,5.0,0,13.0,2,1,0,1,0,0,1,1,0,0,0
92,0,1,1,1,,1,1,0,0,0,1,0,0,1,2.0,0,0.0,0,1,0,1,0,1,0,0,0,0,0
93,1,0,0,0,3.5,1,0,1,0,0,0,0,0,0,2.0,0,3.0,10,0,0,1,0,0,0,1,0,0,0
94,0,0,0,1,3.5,1,0,0,1,0,0,0,0,1,3.0,0,11.0,3,1,1,0,0,1,0,0,0,0,0
95,0,0,0,1,,1,0,0,1,0,0,0,0,1,3.0,0,4.0,1,0,1,0,0,1,1,0,0,0,0
96,0,0,0,1,3.8,1,1,0,0,0,0,0,0,1,1.0,0,0.0,0,1,0,1,0,1,1,0,0,0,0
97,0,0,1,1,3.8,1,0,1,1,0,0,0,0,0,2.0,1,7.0,1,0,1,0,0,1,1,0,0,0,0
98,0,0,0,0,,0,0,0,0,0,0,0,0,0,24.0,0,0.0,0,1,0,1,0,0,0,1,0,0,0
99,0,1,0,1,3.3,1,1,0,1,0,0,0,1,0,4.0,0,33.0,4,1,0,0,1,1,0,0,0,0,0
100,0,0,0,1,3.83,1,0,0,1,0,1,0,0,1,1.0,0,0.0,0,1,0,1,0,0,1,0,0,1,0
101,0,0,1,0,3.97,1,0,0,0,0,0,1,0,1,3.0,0,0.0,0,1,0,1,0,0,0,1,0,0,0
102,0,1,0,1,,1,1,0,0,0,1,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
103,0,1,0,1,3.4,1,0,1,0,0,0,0,0,0,4.0,1,3.0,10,1,0,0,1,0,0,0,0,0,1
104,0,1,1,1,,1,1,0,0,0,0,0,0,1,2.0,1,30.0,0,0,0,1,0,0,0,1,0,0,0
105,1,0,0,1,,1,1,0,0,0,1,0,0,0,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,0
106,0,1,1,1,3.3,1,1,1,0,0,0,0,0,0,4.0,0,38.0,7,1,0,1,0,1,0,0,0,0,0
107,1,0,0,1,,1,1,0,0,0,1,0,0,1,2.0,0,0.0,0,1,0,0,1,0,0,0,0,1,0
108,0,1,0,1,,1,1,0,0,1,0,0,0,0,1.0,1,23.0,1,0,1,0,0,1,0,0,0,0,0
109,0,0,0,1,3.7,1,1,0,1,0,1,0,0,0,3.0,0,2.0,2,1,1,0,0,0,0,0,0,1,0
